Sample,NFKB2_714,RELB_718,NFKB1_719,REL_721,RELA_722
ATAC_EV08,-0.057026402,0.047504873,0.040262872,0.112894494,-0.014617336
ATAC_HIP023_frozen,0.469874941,0.452220581,0.659010316,0.696645968,0.744377973
ATAC_HIP02_frozen,0.01208558,0.003763069,0.11056455,0.224047963,-0.033710437
ATAC_HIP043,-0.130620672,-0.049073614,-0.090640431,-0.061225436,-0.097298256
ATAC_HIP044,0.092214709,0.291322071,0.470741422,0.577818178,0.207806128
ATAC_HIP045,-0.309604069,-0.180514607,-0.259364754,-0.106457876,-0.357217081
ATAC_HIP15_frozen,0.346098155,0.355483778,0.649516018,0.396900284,0.499190036
ATAC_057,0.115202269,0.270613455,0.37406547,0.243929485,0.339672313
ATAC_132D0,0.981943055,0.945897473,1.345045208,1.138823932,1.507226377
ATAC_52,0.47927643,0.416430117,0.585875934,0.222409347,0.769387124
ATAC_66D0,0.681096179,0.548084494,0.80590865,0.54020284,0.903907908
ATAC_66D7,0.303014936,0.139206758,0.209039832,-0.075015991,0.203937894
ATAC_67,0.148354318,-0.074472322,-0.18279496,-0.249402668,-0.030180626
ATAC_83,0.975411928,0.977346423,1.330145759,1.340812964,1.709233726
ATAC_86,0.790967993,0.372531164,0.686921914,0.349457916,0.788231662
ATAC_055,-0.406444463,-0.256053516,-0.378920852,-0.267328224,-0.562961714
ATAC_556,-0.094480163,-0.193340625,-0.228053295,-0.18463586,-0.224969779
ATAC_559,0.596373179,0.453017519,0.599099927,0.527257893,0.731350867
ATAC_555_1,-0.426167324,-0.459049913,-0.588487866,-0.469345925,-0.642708156
ATAC_564A,-0.746137422,-0.832057188,-0.945222329,-1.029129312,-1.121461085
ATAC_564B,-0.160115729,-0.127840126,-0.061220761,-0.055172162,-0.022006251
ATAC_555_2,-0.701680589,-0.553125988,-0.745947741,-0.582981082,-0.853456947
ATAC_557,-0.409329478,-0.322461316,-0.565946798,-0.382083312,-0.518383683
ATAC_558,-0.222436649,-0.145984585,-0.268815945,-0.164082821,-0.243768474
ATAC_560,-0.325234083,-0.260507147,-0.414800473,-0.345569407,-0.455839539
