cell.type,sample_id,freq
NK,01VWT063-15A,19.51623795
NK,01VWT115-15A,20.08002436
NK,01VWT206_15A,19.18288818
NK,01VWT217_15A,6.082423039
NK,01VWT286-15A,18.44074501
NK,01VWT341_15A,25.92976635
NK,28205-0555d0,6.620953237
NK,28205-0555d2,4.597431078
NK,28205-0556,20.11400911
NK,28205-0557,6.559448877
NK,28205-0558,6.139656217
NK,28205-0559,19.32693607
NK,28205-0560,12.68168605
NK,28205-0561,7.353223331
NK,28205-0562,1.320182094
NK,28205-0563,13.98261333
NK,28205-0564d0,7.261271497
NK,28205-0564d2,7.788671024
NK,28205-0565,6.573134328
NK,28205-0568,5.35745499
NK,28205-0569,7.551964553
NK,28205-0570,10.67939609
NK,55650-0023,46.82866288
NK,55650-0052,15.92986765
NK,55650-0055,12.09554832
NK,55650-0056,14.16761425
NK,55650-0057,21.62000858
NK,55650-0061,27.50124193
NK,55650-0062,9.170347609
NK,55650-0063,4.035134064
NK,55650-0066,5.339664952
NK,55650-0066 D7,7.234375509
NK,55650-0067,17.98871177
NK,55650-0069,17.70731563
NK,55650-0073,16.85236073
NK,55650-0078,11.63026917
NK,55650-0080,55.13873922
NK,55650-0081,22.96990088
NK,55650-0082,15.62016538
NK,55650-0083,13.16105769
NK,55650-0085,24.00851141
NK,55650-0086,7.17428088
NK,55650-0087,16.4602567
NK,55650-0093,37.79677901
NK,55650-0094,22.93910137
NK,55650-0095,12.38202998
NK,55650-0096,17.29078154
NK,55650-0105,8.330204031
NK,55650-0120,11.40844116
NK,55650-0121,5.110212798
NK,55650-0127,10.06648936
NK,55650-0132 D0,14.9374243
NK,55650-0139,8.961675151
NK,55650-0179,17.67810026
NK,55650-0190,13.28008915
NK,55650-0195,18.52320211
NK,55689-0006,12.25884997
NK,55689-0040,25.65437276
NK,55689-0056,11.83679801
NK,55689-0057,8.682037164
NK,55689-0058,21.62552749
NK,55689-0059,11.22711454
NK,55689-0060,13.0760696
NK,55689-0061,6.890239299
NK,55689-0077,35.6476498
NK,55689-0079,12.93173507
NK,55689-0082,10.6402115
NK,55689-0087,25.38720747
NK,55689-0094,7.452996077
NK,EC003,9.134302938
NK,HIP002,37.38765954
NK,HIP015,11.19623842
NK,HIP023,6.650388743
NK,HIP043,69.05030702
NK,HIP044,19.72787477
NK,HIP045,8.850931677
